name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
Anvil 16 oz. Fiberglass Claw Hammer,1397,Brand New,,False,
ABN Dead Blow Hammer 2 lb Pound Mallet with Non-Marring Rubber Coating,1299,Brand New,,True,
Milwaukee 48-22-9310 3Lb Fiberglass Drilling Hammer,1997,Brand New,,True,0
16oz Pink Steel Hammer w/ Smooth Face Rip Claw Slip Resistant Handle   ,2499,Brand New,,False,
"ESTWING FRAMING CLAW HAMMER NICE CONDITION RUBBER HANDLE 16"" LONG MADE IN USA",1450,Pre-Owned,,True,
DeWalt DWHT51366 22 oz. Demolition Hammer New,2969,Brand New,,True,
DeWalt DWHT51453 28 oz. Steel Framing Hammer New,2841,Brand New,,True,79
Milwaukee 48-22-9035 22 oz. Milled Face Framing Hammer + 15 in. Pry Bar,3597,Brand New,,True,0
Huge Hammer Tool Lot Claw Body Work Machinist Carpentry Wood Handle Hickory,1350,Pre-Owned,,False,
DEWALT 8 lbs. Exo-Core Sledge Hammer DWHT56028 New,,Brand New,,True,89
New Listing4 oz. FAIRMOUNT  Ball Peen Hammer Machinist Mechanic Tool  Original Wood Handle,1095,Pre-Owned,,False,
2-Way 25mm Mini Small Rubber And Nylon Head Face Mallet Hammer Handle Shaft,659,Brand New,,False,
Blue Estwing 19 oz  Framing hammer with Rubber  handle,1099,Pre-Owned,,False,
"DeWalt DWHT51366 22 oz. Demolition Sledge Hammer, One Piece Steel Long Handle",3393,Brand New,,False,348
8 Oz Small Hammer Camping Claw Stubby Short Hammer Stainless Steel Rubber Handle,999,Brand New,,False,
6 oz Mini Ball Peen Hammer,1342,Brand New,,True,
" 8 oz Small Claw Hammer, Rip Claw Hammer with Non Slip Shock Reduction Grip ",899,Brand New,,False,
